instruction,output
What can a tenant do if they were unable to attend a hearing due to sudden illness?,"If the tenant was unable to attend the hearing due to sudden illness, they can request a review of the order by providing evidence of their illness and its impact on their ability to participate in the hearing."
What are the grounds for refusing a request for review at the Landlord Tenant Board?,The LTB will refuse requests where the requestor's absence was the result of negligence or it finds no reasonable explanation for the failure to attend.
When can the Landlord Tenant Board initiate a review for serious error?,The Landlord Tenant Board will exercise its discretion to initiate reviews for serious error in exceptional circumstances.
How to evict a tenant for an illegal act or business?,"You can give the tenant a notice of termination of the tenancy if they or another occupant of the rental unit commits an illegal act or carries on an illegal trade, business, or occupation. The notice should clearly state the reason for termination and comply with the legal requirements for eviction notices."
What is the legal basis for evicting a tenant for an illegal act or business?,The legal basis for evicting a tenant for an illegal act or business is outlined in case law such as 1 Samuel Property Management Ltd. v. Nicholson (2002) and Peel Non-Profit v. Hogarth (1990). These cases provide guidance on the grounds for eviction in such situations.
What constitutes an illegal act or business under the Residential Tenancies Act?,"An illegal act or business would include a serious violation of a federal, provincial, or municipal law. If the illegality is trivial or technical, it might not be considered serious enough to warrant eviction. An illegal act will be serious if it has the potential to affect the character of the premises or disturb the reasonable enjoyment of the landlord or other tenants."
How to evict a tenant for illegal activities?,"If a tenant is involved in illegal activities such as drug offences, you can start the eviction process by serving them with a notice of termination. You will need to file an application with the Landlord Tenant Board and attend a hearing to present your case."
What constitutes an illegal act for the purpose of eviction?,"An illegal act for the purpose of eviction is generally something that is not covered by the Residential Tenancies Act (RTA) and does not have a remedy elsewhere in the RTA. For example, illegal acts may include criminal activities or activities that pose a serious risk to the safety of others."
What can I do if my tenant is conducting an illegal business in the rental unit?,You can consider evicting the tenant for conducting an illegal business in the rental unit. This conduct is contrary to section 134 of the Residential Tenancies Act (RTA) and is an offence under section 234(1) of the RTA. You may need to provide evidence of the illegal business and follow the eviction process outlined in the RTA and Landlord Tenant Board guidelines.
How to evict a tenant for permitting an illegal act or business?,"To evict a tenant for permitting an illegal act or business, you must provide evidence that the tenant or other occupant knowingly permitted the illegal act. This can be inferred from their knowledge of the illegal act or willful blindness to it. You will need to present this evidence to the Landlord Tenant Board when filing for eviction."
What is considered a residential complex under the RTA?,"According to section 2 of the RTA, a residential complex includes all common areas, services, and facilities available for the use of its residents, such as the laundry room, parking lot, and recreational facilities."
How to terminate a tenancy for illegal drug-related activities?,"You need to provide a notice of termination setting out the grounds for termination and a termination date not earlier than the 10th day after the notice is given. Ensure that the notice includes details of the illegal act, trade, business, or occupation involving the production, trafficking, or possession of illegal drugs."
How to evict a tenant for illegal activity?,You can terminate the tenancy by providing the tenant with a 20 days notice as per Subsection 61(2)(b) of the Residential Tenancies Act. Ensure that the notice clearly outlines the illegal act or activity that has taken place.
What notice period is required for eviction related to illegal drug activity?,"For eviction related to illegal drug activity, a shorter 10-day notice period is required as per Subsection 61(2)(a)."
What notice period should be given for a second breach after the first notice has become void?,"If the first notice has become void and the tenant commits a second breach, the landlord may give a 14-day notice instead of a 20-day notice, unless the second notice is for one of the three drug-related activities in subsection 61(2)(a), in which case the termination date is already a minimum of 10 days after the notice is given."
What is the definition of an illegal drug according to the Residential Tenancies Act?,"According to Subsection 61(3) of the RTA, an illegal drug means a controlled substance or precursor as defined in the Controlled Drugs and Substances Act (CDSA). This includes substances listed in Schedule I, II, III, IV or V of the CDSA, such as Cannabis or Opium, and substances found in Schedule VI, such as Ephedrine."
What does 'possession' mean in the context of the Act?,"In the context of the Act, 'possession' has the same meaning as in the Controlled Drugs and Substances Act (CDSA), which refers to possession within the meaning of subsection 4(3) of the Criminal Code."
What does 'possession' mean under the Act?,"Under the Act, a person has anything in possession when he has it in his personal possession or knowingly has it in the actual possession or custody of another person, or has it in any place, whether or not that place belongs to or is occupied by him, for the use or benefit of himself or another person."
What is the meaning of 'possession' in the context of the Residential Tenancies Act?,"In the context of the Residential Tenancies Act, mere possession of a drug is not enough to attract subsection 61(2) dealing with possession 'for the purposes of trafficking.' If a landlord is alleging mere possession of a drug, they should give a 20-day notice under subsection 61(2)(b) instead of a 10-day notice under subsection 61(2)(a)."
Definition of 'production' in the context of illegal drugs,"In the context of illegal drugs, 'production' means obtaining the substance by any method or process including manufacturing, synthesizing, altering the chemical or physical properties of the substance, cultivating, propagating, harvesting the substance, or offering to produce."
What does 'trafficking' mean in the context of illegal drugs?,"According to Subsection 61(3) of the Act, trafficking in an illegal drug means to traffic within the meaning of the Controlled Drugs and Substances Act (CDSA). The CDSA defines 'traffic' as the act of dealing with a substance listed in Schedule I to IV, according to the guidelines."
What constitutes 'possession for the purposes of trafficking'?,"According to subsection 5(2) of the CDSA, 'possession for the purpose of trafficking' refers to possessing a substance included in Schedule I, II, III or IV for the purpose of trafficking. In some cases, this may be inferred from surrounding circumstances, such as the presence of a large quantity of drugs, cash, and weigh scales."
What is the burden of proof in Landlord Tenant Board proceedings?,"In Board proceedings, the burden of proof is on a 'balance of probabilities' which applies to all civil proceedings rather than 'beyond a reasonable doubt' as in criminal proceedings."
What is the burden of proof for evicting a tenant for an illegal act?,The landlord does not need to wait for a criminal conviction to evict a tenant for an illegal act. The Board may evict a tenant for an illegal act whether or not the tenant or other person has been convicted of an offence relating to the illegal act.
How to determine if eviction should be refused or delayed?,"The Member must consider whether the tenant has committed an illegal act that justifies eviction, and then whether the eviction should, nevertheless, be refused or delayed having regard to the circumstances."
What factors should be considered when determining whether to refuse or delay an eviction?,"The Member should weigh the seriousness of the illegal act against factors such as the length of the tenancy, the financial circumstances of the tenant, whether there are children living in the unit, whether there have been other problems with the tenant, and whether the tenant is likely to commit the illegal act again. Other factors may also be considered."
How can I evict a tenant for keeping a dangerous animal in the rental unit?,"You can apply for relief from eviction with a condition that the tenant remove the dangerous animal from the rental unit. If the tenant does not comply with the condition, you may apply for eviction under section 78 of the RTA."
What happens if a tenant has unpaid rent during a hearing for a L1 Application?,"If the LTB finds there is unpaid rent during a hearing for a L1 Application, they must consider whether to delay or refuse the eviction. Refusing or delaying the eviction can be discretionary or mandatory, depending on the case. Even if eviction is refused or delayed, the tenant will be ordered to pay any arrears found to be owing. A payment schedule for the arrears may be granted as a condition of giving relief under section 83 of the RTA."
Can a member of the Landlord Tenant Board deviate from the Interpretation Guidelines?,"Yes, a Member is not required to follow a Guideline and may make a different decision depending on the facts of the case."
How should I properly fill out the landlord's name in eviction applications?,"Ensure that the landlord's name is accurately typed in the eviction application, as seen in Darraugh Construction and Investment Ltd. v. Cain (1988), 30 O.A.C. 1."
What should be included in a valid Notice of Termination?,"A valid Notice of Termination should include specific details such as the reason for termination, the date of termination, and any relevant supporting documentation."
How to ensure the Notice of Termination is adequate?,"Specify a date of termination without doubt or condition, and ensure it allows at least the minimum period of Notice for the ground for eviction."
What are the requirements for a valid Notice of Termination?,"A valid Notice of Termination should include the landlord's name, the correct termination date, and a specific date rather than just a period of time (e.g., 'April 16, 2001' instead of '14 days')."
What makes a Notice of Termination inadequate?,"A Notice of Termination may be considered inadequate if it is confusing to the point that a reasonable person cannot understand its precise meaning. This could include uncertainty about the identity of the landlord giving the notice, vagueness about the reason for the notice, a lack of details about the reason, or specifying a reason that is not a valid ground for eviction under the Residential Tenancies Act (RTA)."
What makes a Notice of Termination adequate?,"A Notice of Termination is considered adequate if it clearly communicates the necessary elements and options to the tenant, ensuring that they understand it and the options they have. For example, it should state the required information that the tenant need not vacate pursuant to the Notice."
What are the acceptable methods for giving a Notice of Termination to the tenant?,The acceptable methods for giving a Notice of Termination to the tenant are set out in subsection 191(1) of the RTA and in Rule 3.1 of the Rules of Practice. It's important to follow these methods to avoid potential dismissal of an eviction application.
Can I create my own version of the approved forms for Notices of Termination and Applications?,"Yes, you can produce your own versions of the approved forms as long as they include the information set out for the tenant in the Board form. The different form will usually be permitted if it substantially complies with the legal requirements as expressed in the form approved by the Board."
What should I consider when filling out eviction notice forms?,"Ensure that the information provided is not misleading, is consistent with the law, and does not confuse the essential information in the Notice."
Can a landlord give multiple notices of termination?,"Yes, a landlord may give multiple notices of termination, either with more than one ground in a single notice or by giving two notices of termination together. Additionally, if the landlord discovers another ground for eviction while a notice is unresolved, they can give another notice for the new ground."
Can I give multiple notices of termination to a tenant for different reasons?,"Yes, the Residential Tenancies Act allows a landlord to serve more than one Notice of Termination citing different reasons for eviction. For example, if the tenant is behind in rent and has also damaged property, the landlord can ask for eviction under both grounds by serving separate notices for each reason."
Can I give multiple notices of termination with different termination dates?,"Yes, you are permitted to give Notices of Termination with different termination dates, but it is important to minimize confusion for the tenant. The Notices may be challenged if they are deemed confusing and therefore defective."
When can I file an eviction application for non-payment of rent?,You can file the eviction application at least the day after the termination date specified in the Notice of Termination for non-payment of rent.
"When can I file an eviction application for damages, interference with reasonable enjoyment, or overcrowding?","You may file an eviction application after the seven day period for the tenant to remedy the situation has passed without the tenant complying with that remedy. For example, if the tenant paid for the damages within the seven days following the Notice being given, no application could be made. Otherwise, the tenant doesn't void the Notice and the landlord could apply on or after the 8th day after giving the Notice to the tenant."
What happens if my application is incomplete?,"The staff of the Board will check the application for completeness, but ultimately the Board Member will determine if it meets the requirements. If it does not, the application may be dismissed."
What other claims can be filed with an eviction application?,"You can file claims for unpaid rent, damages, or other costs related to the tenancy."
What can a landlord do if seeking termination of tenancy for an illegal act and also seeking rent arrears and compensation for damages?,"The landlord can combine the eviction application with a claim for rent arrears and/or compensation for damages. They would have to give the tenant a Notice of Termination for the illegal act, but would not have to give a Notice of Termination for the rent arrears or compensation for damages. It is advisable to support the application for damages with estimates for the work alleged to be necessary, preferably from a reputable contractor or supplier, as the Board may refuse to issue an order for an unsupported amount."
What happens if a tenant pays rent arrears after receiving a Notice of Termination?,"If the tenant pays the rent arrears and any additional rent due before the landlord applies for eviction, the Notice of Termination becomes void."
What happens if the tenant pays the owed rent after receiving a Notice of Termination?,"If the tenant pays the owed rent before the end of the current rental period, the Notice of Termination becomes void. The landlord cannot file an application with the Board based on that Notice. However, if the tenant does not pay the arrears before the end of that rental period and another rental period begins, the rent for that rental period as well as the previous arrears must be paid before the landlord can apply to void the Notice."
When does a Notice of Termination for Non-Payment of Rent become void?,"A Notice of Termination for Non-Payment of Rent becomes void if the landlord does not apply to the Board in the month of May, and the tenant could also void the Notice by paying the owed amount on or before May 31st."
When does a Notice of Termination become void?,"A Notice of Termination becomes void if the tenant pays the specified amount on or before the deadline mentioned in the notice. If the payment is made after the specified date, the tenant may have to pay a different amount to void the notice."
What happens if a tenant corrects the behavior or issue mentioned in the Notice of Termination?,"If the tenant corrects the behavior or issue within seven days of receiving the Notice of Termination, the Notice becomes void. However, if the tenant does not correct the behavior or issue within the seven days, the landlord then has thirty days to file an eviction application with the Board."
What can a landlord do if a tenant contravenes the RTA again after receiving a Notice of Termination?,"The landlord can serve the tenant with a second Notice under section 68 of the RTA. This second Notice cannot be voided by the tenant, and the landlord can apply to the LTB to terminate the tenancy and evict the tenant as soon as the Notice is given to the tenant."
What reasons can be listed in a second Notice of Termination?,"The types of further contraventions that can be listed in a second Notice include: substantial interference with reasonable enjoyment, willfully or negligently causing undue damage, overcrowding of the rental unit, misrepresentation of income, and committing an illegal act in the rental unit or residential complex."
What should I do if the tenant pays the full arrears before the hearing?,You should advise the Board so that the application may be treated as discontinued pursuant to subsection 74(2) and the hearing may be cancelled.
What should I do if there are multiple landlords and I want to give a Notice of Termination?,"If there are multiple landlords, it's important to ensure that all landlords' names are included in the Notice of Termination. Although the notice is sufficiently signed if any one of the landlords signs it, it may not be sufficient if any of the landlords' names are missing from the Notice. If the property has been sold and the new landlord is the applicant, both the purchaser and vendor should be named and sign the application if there is rent owing to each."
How to serve a Notice of Termination to multiple tenants?,"The Notice of Termination should name and be given to all tenants. This may be done in one Notice naming all the tenants. If one of the tenants lives at another address, they must be served separately in accordance with the RTA and Rules of Practice."
Do I need to include subtenants in the Notice of Termination?,"Yes, you should include the names of subtenants or assignees in the Notice of Termination."
What happens if an eviction order expires?,"Once an eviction order expires, there is no authority to renew it, nor will the landlord be able to apply again for the same remedy for the same time period."
How can I collect money from a tenant for unpaid utilities or damages to the rental unit?,You can file an Application to End a Tenancy and Evict a Tenant or Collect Money (L2 Application) with the Landlord Tenant Board.
What application should I file if the tenant owes rent arrears and I want to evict them?,"You should file an Application to Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes (L1 Application) with the LTB. Before filing the L1 Application, you must give the tenant an N4 Notice to End your Tenancy for Non-Payment of Rent."
Which application to file for rent arrears if the tenant is still in possession of the rental unit?,You should file an Application to Collect Rent the Tenant Owes (L9 Application).
What should a landlord do if the tenant does not pay the ordered amount after the LTB issues an order on an L9 Application?,"If the tenant does not pay the ordered amount, the landlord cannot use that order to evict the tenant."
What application should a landlord file if the tenant has already moved out and the landlord wants an order requiring the tenant to pay rent arrears?,The landlord should file an Application to Collect Rent the Former Tenant Owes (L10 Application).
When can a landlord file an L10 Application for rent arrears?,"The tenant must have moved out of the rental unit on or after September 1, 2021, and the application cannot be filed more than one year after the date the tenant moved out."
How to serve a notice of termination for rent arrears?,"You can serve the tenant with a notice of termination (Form N4) stating the arrears of rent and the termination date. The Form N4 must be given to the tenant at least 14 days before the termination date for monthly or yearly tenancies, and at least 7 days before the termination date for weekly or daily rent payments."
How to terminate a tenancy if the tenant moves out by the termination date on Form N4?,"If the tenant moves out by the termination date on Form N4, the tenancy is terminated on that date. The tenant's obligation to pay rent to the landlord ends when the tenancy has terminated and the tenant has vacated the rental unit."
What should I do if the tenant pays the rent in arrears after I have served a Form N4?,"If the tenant pays the rent in arrears and any additional rent due before you file an L1 Application with the LTB, the Form N4 is void. You cannot file an L1 Application based on a voided Form N4. If the tenant has not voided the Form N4 by paying all the arrears and has not moved out of the rental unit, you may then file an L1 Application with the LTB to claim any arrears owing. However, you cannot file the L1 Application until the day after the termination date in the Form N4."
What evidence should I provide to determine if a tenant is still in possession of the unit?,"You should provide evidence of the tenant's access to, use of, or occupation of the unit. This may include documentation of their activities within the unit, any communication regarding the unit, and any other relevant interactions that demonstrate their control over the rental unit."
What should I do if the tenant has moved out but still owes rent arrears?,"You cannot file an L1 Application, but you may be able to claim rent arrears by filing an Application to Collect Rent the Former Tenant Owes (L10 Application) instead."
What happens if the tenant is still in possession of the rental unit on the date of the hearing for the L1 Application and the tenancy is being terminated for non-payment of rent?,The tenant will be ordered to pay rent arrears up to the hearing date. They will also be ordered to pay daily compensation starting the day after the hearing date and continuing until they vacate. The order will also include any amount payable for NSF and administration charges. Payments made by the tenant after the application was filed are deducted from the amount they must pay. Any rent deposit being held by the landlord and interest owing on the rent deposit (up to the hearing date) is also deducted.
How to handle arrears of rent when the tenant is still in possession of the rental unit?,"If the tenancy is terminated for non-payment of rent, the order will inform the parties that the order is void and the tenancy will continue if the tenant pays the landlord or the LTB all the rent arrears and costs specified in the order before it is enforceable, in accordance with subsection 74(4) of the RTA. The determination of arrears is usually based on the principle that payments are applied to the earliest rent owing."
Ordering arrears of rent where the tenant has vacated the rental unit,"If the tenant has vacated the rental unit, you can still apply for an order to collect the arrears of rent. You will need to file an application with the Landlord and Tenant Board and provide evidence of the unpaid rent. The Board will review the evidence and may issue an order for the tenant to pay the arrears."
What happens if the tenant has vacated the rental unit before the hearing date?,"If the tenant moved out before the hearing date, the LTB's order will generally include a determination that the tenancy ended on the date the tenant moved out. The order will end the tenancy effective the date the tenant moved out without ordering enforcement through the Court Enforcement Office (Sheriff) and require the tenant to pay rent arrears ending on the date the tenancy ended."
Can I apply the rent deposit to the arrears before evicting the tenant?,"No, the rent deposit can only be applied to the last month of the tenancy. Therefore, you should not apply the deposit to the rent arrears before applying to evict the tenant."
What should I do if the amount owed to me by the tenant is a negative amount after deducting the deposit and interest?,"In this case, you may owe money to the tenant. The LTB may order you to pay the tenant the amount that will be owed as of the order date. This is in accordance with section 205 of the RTA, which states that the LTB may order that 'The landlord or the tenant shall pay to the other any sum of money that is owed as a result of this order.'"
What happens if the tenant pays all the arrears before the eviction order is issued?,"If the tenant pays the landlord all of the arrears, the application fee and any additional rent that is owed before the eviction order is issued, the landlord's application will be discontinued."
What should the order specify under subsection 74(3)?,"The order must specify the amount of rent arrears, the daily compensation payable, any costs ordered by the LTB, NSF and administration charges."
What happens if the tenant pays the full amount owed after the order is issued?,"If the tenant pays the full amount to the landlord or into the LTB's trust account on or before the date the order is enforceable, the order is automatically voided, and the landlord cannot enforce the order with the Court Enforcement Office (Sheriff). If the tenant pays the entire amount to the landlord or part to the landlord and part to the LTB, the tenant may file a motion with the LTB, without notice to the landlord, asking for a Member to issue an order determining that the tenant has paid the full amount due and confirming that the order is void. Such an order will be made without holding a hearing. However, within ten days after it is issued, a landlord may make a motion to set the order aside. A hearing will be held to determine the landlord's set aside motion."
What can a tenant do if they pay the full amount specified in the eviction order before it is enforced by the Sheriff?,"The tenant may file a motion with the LTB, on notice to the landlord, to set aside the eviction order. This type of motion can only be made once during a tenancy."
What should a tenant do after the order is enforceable?,"The tenant must file a signed declaration or affidavit with the motion setting out all the payments made by the tenant since the hearing. Payments made prior to the hearing cannot be listed in the affidavit because those payments should be included in the order. If the tenant believes that the order is incorrect because it does not include all the payments that were made before the hearing, the tenant may consider filing a request to review the order."
What happens after the order is enforceable?,"After the order is enforceable, the Landlord Tenant Board (LTB) will hold a hearing on the motion. If the LTB determines that the tenant has not paid the arrears and any additional rent owing, as well as any NSF and administration charges and costs ordered by the LTB, the LTB will make an order denying the motion and lifting the stay. If the LTB determines that the tenant has paid the arrears and any additional rent owing, as well as any NSF and administration charges and costs ordered by the LTB, the LTB will make an order finding the eviction order to be void. Additionally, if the landlord has paid a non-refundable amount under the Administration of Justice Act for the purpose of enforcing the order (e.g. sheriff fees), the LTB will specify that amount in the motion order and require the tenant to pay that amount into the LTB by a specified date."
What can a landlord do if a tenant paid by non-certified cheque and there's concern it may be returned NSF?,The landlord can request an adjournment or permit post-hearing submissions to allow time for the cheque to clear before the final order is made.
Can a landlord file an L9 Application without giving the tenant a notice of termination?,"Yes, a landlord does not need to give the tenant a notice of termination before filing an L9 Application with the LTB."
What happens if a landlord's L9 Application is granted?,"If a landlord's L9 Application is granted, the tenant will be ordered to pay arrears of rent owing as of the hearing date. The L9 order is an enforceable order which can be collected as a debt, but it does not terminate the tenancy or result in the tenant's eviction."
Can a landlord evict a tenant through an L9 Application?,"No, the L9 order does not terminate the tenancy or result in the tenant's eviction."
How much rent arrears can the LTB order a tenant to pay?,"The LTB can order a tenant to pay arrears up to the end of the current month in which the hearing is held, in accordance with section 87(1) of the RTA. The amount of rent arrears the LTB can order a tenant to pay may be affected by section 88(1) of the RTA if the tenant abandoned or vacated the rental unit without providing a valid notice of termination."
How to calculate rent arrears if the tenant vacated the rental unit?,"If the tenant vacated the rental unit after giving the landlord a notice of termination that was not in accordance with the RTA, arrears of rent are owing for the period that ends on the earliest termination date that could have been specified in the notice, had the tenant given a notice in accordance with the RTA. If the tenant abandoned or vacated the rental unit without giving any notice, arrears of rent are owing for the period that ends on the earliest termination date that could have been specified in a notice of termination had the tenant, on the date that the landlord knew or ought to have known that the tenant had abandoned or vacated the rental unit, given notice of termination in accordance with the RTA."
How should I handle rent arrears if the tenant vacates the rental unit?,"You should try to re-rent the rental unit as soon as you become aware that the tenant has vacated or intends to vacate the unit. Additionally, if the tenancy has already been terminated, the rent deposit can be deducted from the arrears awarded to you."
How to handle rent arrears when a tenant moves out?,"In accordance with section 37(2) of the RTA, if the former tenant moves out of the unit by the termination date specified on a notice of termination, the tenancy is terminated on that date. The former tenant's obligation to pay rent to the landlord ends when a tenancy has terminated, and the tenant has vacated the rental unit (s.134(1.1) of the RTA). If the landlord is still holding a rent deposit collected from the former tenant, the LTB order may deduct the rent deposit from the arrears awarded to the landlord. Section 106(10) of the RTA states that a rent deposit must be applied to the last rental period before the tenancy terminated."
How to file an L10 Application to Collect Rent the Former Tenant Owes?,"To file an L10 Application, the landlord must ensure that the former tenant moved out of the rental unit on or after September 1, 2021. The application cannot be filed more than one year after the date the tenant moved out. The landlord can file the L10 Application with the Landlord and Tenant Board, and if granted, the former tenant may be ordered to pay the arrears of rent and compensation for each day they lived in the rental unit after the tenancy was terminated."
How to serve the L10 Application to a former tenant?,"As a landlord, you are responsible for giving the L10 Application and notice of hearing to each former tenant at least 30 days before the hearing. You can do this by personally delivering the documents to the former tenant or by sending them through registered mail to ensure proof of delivery."
How to serve the L10 Application to the former tenant?,"You can serve the L10 Application to the former tenant by handing the document(s) to them directly, handing it to an apparently adult person at their current residence, sending it by mail or courier to their current residence, leaving it at the place where mail is ordinarily delivered at their current residence, or by email if the former tenant agreed in writing to receive documents by email and you can prove they received it."
How to determine a former tenant's current residence for serving an application and notice of hearing?,"You must be able to explain at the hearing how you determined the former tenant's current residence. This could include providing evidence of attempts to contact the tenant at their last known address, speaking to neighbors or family members, or using any forwarding address provided by the tenant."
How to serve a former tenant if unable to do so using standard methods?,"If the landlord is unable to serve the former tenant using standard methods, they can request to use an alternative method of service by submitting a Request to use Alternative Service to the LTB. This request must be submitted at least 40 days before the hearing and should explain why the standard methods were unsuccessful and why the proposed alternative method is believed to be effective."
How to serve the L10 Application to a former tenant?,"You must give each former tenant a copy of the L10 Application and notice of hearing. After serving the documents, complete a Certificate of Service and submit it to the LTB at least 20 days before the hearing."
What information should be included when completing a L10 Application?,"When completing a L10 Application, the landlord should include the former tenant's current residence, if known. The LTB needs this information so it can provide the former tenant with a copy of the order it will issue after the hearing."
How to request to amend an application at a hearing?,"You can request to amend an application at the hearing by demonstrating to the LTB that the amendment is appropriate, would not prejudice any party, and is consistent with a fair and expeditious proceeding, as per Rule of Procedure 15.4."
Can I amend my L1 or L9 Application to a L10 Application if the tenant moved out before I filed the application?,"Yes, you may be given the opportunity at the hearing to amend the L1 or L9 Application and make it a L10 Application instead if the tenant moved out before you filed the application. However, the Member must consider certain factors before granting the amendment request, such as whether the former tenant is at the hearing, was served with the application and notice of hearing using approved methods for L10 applications, or if the Member is satisfied that the former tenant is aware of the hearing and the landlord's rent arrears claims."
How to claim NSF charges and administrative charges from a tenant?,"You can include a claim for the amount of NSF charges paid to a financial institution in your application for an order for the payment of arrears of rent. Additionally, you can claim the landlord's administrative charges in respect of those cheques, which are limited to a maximum of $20.00 per cheque as per section 17 of Ontario Regulation 516/06. These charges, if claimed, will normally be awarded if proven by the landlord."
Can I include NSF charges in a notice of termination?,"No, including NSF charges on a notice of termination, such as an N4, will likely invalidate the notice. According to subsection 59(3) of the RTA, a notice of termination is void if the tenant pays the arrears and the additional rent that has become owing. There is no requirement for the tenant to pay NSF charges to void the notice."
Can I require a rent deposit from my tenant?,"You can require a rent deposit of no more than one month's rent, as long as it is done on or before entering into the tenancy agreement in accordance with subsection 106(1) of the RTA."
Can I include unpaid utility costs in a notice of termination?,"No, unpaid utility costs are not considered 'rent arrears' and cannot be claimed in an N4 notice of termination. However, the landlord may be able to claim expenses incurred due to unpaid utility costs using a L2 Application or a L10 Application if the tenant has already vacated the rental unit."
Can I include unpaid utility costs in a notice of termination?,"If the tenant is responsible for paying utility costs directly to the utility company as per the agreement, unpaid utility costs cannot be included in a notice of termination such as N4. Including unpaid utility costs on an N4 in this circumstance will likely invalidate the notice."
Can I include unpaid utility costs on a notice of rent increase?,"No, including unpaid utility costs on a notice of rent increase will likely invalidate the notice. According to section 116 and 119 of the RTA, a landlord can only increase the rent once every 12 months and must serve a notice of rent increase using a LTB approved form at least 90 days in advance."
Can I charge my tenant for utilities in Ontario?,"Yes, if the building contains not more than six rental units and the tenancy agreement allows it, the tenant may be required to reimburse the landlord for a portion of the utility cost in accordance with Ontario Regulation 394/10."
How to claim expenses for unpaid utility costs from a former tenant?,"You can seek an order for these expenses using a L2 Application. If the tenant has already moved out, you may be able to claim the expenses using a L10 Application."
Can I include other non-rent charges in a notice for non-payment of rent?,"No, you should not include other non-rent charges in a notice for non-payment of rent. The Residential Tenancies Act (RTA) does not provide for the recovery of these charges in an application to the Landlord Tenant Board (LTB)."
Can I charge non-refundable key deposits to my tenants?,"No, non-refundable key deposits are not permitted by the RTA, even if they are set out in the tenancy agreement. See section 17 of Ontario Regulation 516/06 for more details."
Can a landlord order a guarantor to pay rent arrears?,"In most cases, the guarantor cannot be ordered to pay rent arrears, especially if they have no express right of possession and are not expected to occupy the rental unit."
What should a tenant do if they want to raise maintenance problems or harassment during a rent arrears hearing?,"The tenant must give the landlord and LTB a written description of each issue at least 7 days before the hearing, unless the LTB orders otherwise. The tenant should include details such as a description of the issue, when it began, and when the landlord became aware of the issue. The tenant must also give a copy of all their supporting evidence to the landlord and the LTB at least 7 days before the hearing, unless the LTB directs or orders otherwise."
What evidence can a landlord submit to address tenant issues raised during rent arrears hearings?,"The landlord must provide responding material, including documents, pictures, and other relevant evidence at least 5 days before the scheduled hearing."
What should a tenant do if they want to raise issues under section 82 during a rent arrears hearing?,"The tenant must provide the landlord and the LTB with the required details about the issues and supporting evidence at least 7 days before the hearing. If they cannot comply with these requirements, they must provide an explanation satisfactory to the LTB. If the LTB is not satisfied with the tenant's explanation, the issues may still be considered when deciding whether to delay or refuse the eviction under section 83 of the RTA."
What happens if the LTB finds in favour of the tenant during rent arrears hearings?,"If the LTB finds in favour of the tenant, they may award remedies such as ordering the landlord to fix something or granting the tenant a rent abatement. If a rent abatement is granted, it will be deducted from any rent arrears owing to the landlord."
Can a landlord evict a tenant for personal use of the property?,"Yes, a landlord can evict a tenant for personal use of the property, but they must follow the specific guidelines and provide proper notice to the tenant."
Who can occupy the rental unit?,"The rental unit can be occupied by the landlord, the landlord's spouse, a child or a parent of either the landlord or the landlord's spouse, or a person who provides or will provide care services to the landlord or a family member of the landlord where the person receiving the care services resides or will reside in the building. Other family members who are not specified in section 48(1), such as a landlord's siblings, cannot be included in the N12 notice."
How to determine the termination date for a notice of termination?,"The termination date must be at least 60 days after the notice is given and must be the last day of a fixed term tenancy, or if there is no fixed term, on the last day of a rental period. For example, if the current month is January and the lease expires on June 30 of the same year, the termination date should be June 30. If there is a month-to-month tenancy agreement with the rent due on the 1st day of each month and notice is provided to the tenant on January 20, the earliest the termination date on the notice can be is March 31 which is 60 days after the notice is given and on the last day of the monthly rental period."
What should I do if I realize I made a mistake with the termination date on the N12 notice?,"If you realize you made a mistake with the termination date on the N12 notice, it cannot be amended after it has been given to the tenant. The notice is considered defective, and the LTB cannot issue an order terminating the tenancy based on a defective notice of termination."
What is the deadline for filing an eviction order after giving notice to the tenant?,The eviction order must be filed no later than 30 days after the termination date specified in the notice.
How to file an affidavit or declaration for eviction for personal use?,"You can file an affidavit sworn by the person who requires the rental unit, certifying the need for personal use for at least one year. Alternatively, you can also submit a signed and dated declaration containing the same information, confirming the truth of the statement and acknowledging the consequences of making a false declaration. Declaration forms are available on the LTB’s website."
What is the weight of oral testimony at an LTB hearing compared to written testimony?,"As a general principle of law, oral testimony at an LTB hearing is given greater weight than testimony provided in written form."
What does 'good faith' mean in the context of evicting a tenant for personal use?,"In the context of evicting a tenant for personal use, 'good faith' means that the landlord must prove, on a balance of probabilities, that they genuinely require the rental unit for residential occupation by the specified person. The Landlord Tenant Board will consider whether the landlord has a genuine intention to occupy the premises, rather than whether the landlord's plan is reasonable."
What does it mean for a landlord to act in good faith when reclaiming a unit for a family member?,"Acting in good faith means that the landlord genuinely intends to reclaim the unit for the purpose of residential occupation by a family member. The landlord's professed intent must be genuine, and the Tribunal will determine whether the landlord's stated intention is made in good faith."
What is considered when seeking possession of a rental unit for personal use?,"The motives of the landlord are largely irrelevant, and the only issue is whether the landlord has a genuine intent to reside in the property. The Landlord Tenant Board can consider the conduct and motives of the landlord to determine if the desire to occupy the property is in good faith."
