instruction,output
Can I still apply for a remedy if the problem has been repaired before I filed the application?,"Yes, you can still apply for a remedy even if the problem has been rectified before you filed the application. However, if the landlord responded within a reasonable time and the response was appropriate to effect the repair, no abatement or other remedy may be ordered."
What can I do if the repairs attempted by the landlord were ineffective or badly done?,"You can address these issues directly through evidence and bring them to the attention of the Member at the Landlord Tenant Board. Provide documentation and evidence of the ineffective or badly done repairs, and the Board will decide on the matter."
What should I do if my landlord claims that repairs are my responsibility?,"You should gather evidence to show that the damages were not caused by your wilful or negligent conduct. This could include photos, witness statements, or any other relevant documentation to support your case. You can present this evidence during the hearing to dispute the landlord's claim."
What should I do if my landlord accuses me of contributing to a maintenance problem or preventing them from making repairs?,"If your landlord accuses you of contributing to a maintenance problem or preventing repairs, gather evidence to support your actions. This could include communication with the landlord, records of maintenance requests, and any relevant documentation. Be prepared to present this evidence at the hearing to demonstrate that you have not unreasonably prevented the landlord from addressing the issue."
What should I do if my landlord is not maintaining the property?,"You can submit a request for remedies to the Landlord Tenant Board, specifically outlining the maintenance obligations that have been breached. You may also discuss the dispute with the landlord and come to a conclusion concerning the type or amount of relief to be given, although the Board is not bound to follow a joint submission."
What should I do if I have a serious problem with the rental unit?,"The best practice is to notify the landlord in writing of any serious problem. However, if you have provided oral notice, you must convince the Member through your testimony that notice was given to the landlord or an employee, and when."
What should I do if I have a maintenance issue in my rental unit?,"You should advise the landlord of the maintenance issue as soon as possible. Failure to notify the landlord may affect the remedies that can be ordered by the tribunal. If you reasonably believed that other tenants had already complained or the problem should have been obvious to the landlord, make sure to mention that in your communication with the landlord."
How can I order the landlord to do necessary repairs?,"You can file an application with the Landlord Tenant Board requesting an order for specific repairs or replacements. The order should be very specific about the required work and the deadline for completion. If the landlord fails to comply within the specified period, you may be able to deduct an amount from future rent payments as per the Board's guidelines."
Can I get reimbursed for repairs I made to the property?,"Yes, if you have already paid for repairs due to the landlord's failure to comply with maintenance obligations, you can request reimbursement. You can ask the Member to authorize the repair and order the landlord to refund you the reasonable cost by a specific date or to deduct the amount from the rent."
What should I do if my landlord fails to do specified work by a specific date?,"You can request the landlord to do the specified work by a specific date. If they fail to do so, you may be authorized to do the work yourself and deduct a specified amount from the rent. It's advisable to have evidence, such as estimates, of the cost of the repairs or replacements."
How can I request an abatement of rent from my landlord?,"You can request an abatement of rent by filing an application with the Landlord Tenant Board. If the Board finds that the landlord has breached maintenance obligations and the issue was not rectified within a reasonable time, they may order an abatement of rent in the form of a lump sum payment, a reduction in rent, or even a period of no rent."
How can I request an abatement of rent from my landlord?,"You can request an abatement of rent by filing an application with the Landlord Tenant Board. In your application, you should clearly outline the problem that existed, the period of time it existed, and the impact it had on you as a tenant. The Board will consider the severity of the problem and its effect on you when determining the amount of the abatement."
How to request an abatement for maintenance issues in a rental unit with low rent?,You can request an abatement by assessing what percentage of the package of shelter and services rented by you is not available due to the maintenance issues. Express this as a dollar amount and submit a request to the Landlord Tenant Board for consideration.
Can a higher rent entitle me to better maintenance and faster repairs?,"According to the existing jurisprudence, a higher rent does not necessarily entitle a tenant to better maintenance, faster repairs, or higher abatements if repairs are not done. This is seen as an expectation related to the contract rather than a tenant protection intended by the statute."
Can I hold my landlord liable for maintenance problems they were not aware of?,"According to Ontario Court of Appeal decisions, a landlord may not be liable for unexpected maintenance problems of which they were not aware. However, if you have advised the landlord of the issue and they failed to address it, they may be held liable for damages."
Can I request an abatement of rent during major repairs?,"Yes, you can request an abatement of rent for the period of major repairs that directly affect your use of the unit or services. This can reflect the loss of use caused by the landlord's failure to do work earlier. However, it's important to consider the potential impact on the landlord's ability to fund necessary improvements."
When can I request a rent abatement due to repairs or replacements?,"You can request a rent abatement for failure to provide common facilities and services during long and important delays in providing things which the landlord is responsible for providing. However, the Supreme Court of Canada emphasized that only in the most exceptional cases should an abatement of rent be granted for necessary repairs and renovations during a short period."
"What criteria does the Board use to determine if there is substantial interference during maintenance, repairs, or capital improvements?","The Board uses the criteria set out in Section 8 of O. Reg. 516/06 to determine if there is substantial interference during maintenance, repairs, or capital improvements."
Can I request a rent abatement if my landlord has not maintained the property?,"You may be able to request a rent abatement if your landlord has failed to maintain the property, resulting in a serious condition that affects your use of the unit or common facilities. However, if the landlord has a reasonable maintenance program and is actively working to rectify the issue, a rent abatement may not be ordered."
Can I claim an abatement of rent for maintenance problems?,"Yes, you can claim an abatement of rent for maintenance problems if the remedy is available. You should provide evidence of the maintenance problems and the impact on your tenancy to support your claim."
How can I terminate the tenancy if the rental unit is not fit for human habitation?,"If the rental unit is not fit for human habitation, you can request the termination of the tenancy. For example, if the unit is not habitable due to a disaster such as flooding, and the landlord does not wish to restore the unit immediately and make provisions such as a hotel to bridge the time, the tenancy could be terminated retroactively to the date of the flooding, with an abatement ordered from that date on."
What can I do if the condition of my unit threatens my safety or well-being?,"You can file a complaint with the Landlord Tenant Board, providing evidence of the poor condition and its impact on your safety and well-being. The Board may order the landlord to rectify the situation before considering termination of the tenancy."
How can I get the landlord to pay for the damages to my property?,"You can request the Member to order the landlord to pay the reasonable costs you have or will incur to replace your damaged, destroyed, or disposed of property as a result of the landlord's breach. Make sure to provide evidence of the damages and the costs incurred."
Can I challenge a rent increase from my landlord?,"Yes, you can challenge a rent increase if your landlord is charging a new tenant an amount of rent in excess of the last lawful rent charged to the former tenant, or if the notice of a rent increase has not been taken before the date of any order issued by the Landlord Tenant Board."
How can I prove that my landlord has not completed the items in a work order?,"You can prove that your landlord has not completed the items in a work order by keeping detailed records of the work order, including the date it was issued, the specific items that were not completed, and any communication with the landlord regarding the incomplete items. You can also gather any evidence such as photographs or witness statements to support your claim."
What can I do if my landlord is not completing necessary repairs?,You can request the Board to issue an interim order assessing an abatement of rent until the landlord completes the repairs. This may encourage the landlord to do the work expeditiously.
How can I ensure that the necessary work is completed by my landlord in a timely manner?,"You can request an adjournment of the case for a short period, allowing the landlord to return on a later date to show the work is completed. This approach encourages the work to be done quickly while providing an opportunity for the landlord to demonstrate completion."
What can I do if my landlord fails to make necessary repairs?,"You can request the Landlord Tenant Board to order the landlord to make the specific repairs within a specific period. If the landlord fails to do so, you may be entitled to recover the appropriate amount to do the work through deductions to the rent or receive rent abatement for each rental period until the work is completed."
Can I rely on Interpretation Guideline 6 to understand my rights as a tenant?,"Interpretation Guideline 6 is intended to assist in understanding the LTB's usual interpretation of the law. However, it's important to note that a Member is not required to follow a Guideline and may make a different decision based on the facts of the case. It's advisable to seek legal advice or consult with the LTB directly for specific questions about your rights as a tenant."
How can I take action against my landlord for illegally entering my unit and altering the locking system without giving me replacement keys?,"You can file a T2 application with the Landlord Tenant Board, outlining the details of the illegal entry and alteration of the locking system. Be sure to provide any evidence or documentation supporting your claim."
Who should I name as respondents in my application to the Landlord Tenant Board?,"You should always name the landlord as a respondent in the application. In addition, if you believe that employees or agents of the landlord are personally responsible for the conduct in the application, you may also name them as respondents. It's important to ensure that the right persons are named as respondents to give them the opportunity to respond to the application."
How can I add a superintendent or agent of the landlord as a respondent after filing the application?,"You can request to add a respondent after filing the application, but the LTB will consider whether you should have been aware that the other respondent should have been named in the application. If the hearing has already started, it may have to begin again if the request to add another respondent is granted."
How do I name a corporation as a respondent in my LTB application?,"When naming a corporation as a respondent in your LTB application, ensure to include the names of the officers, employees, or agents of the corporation who were involved in the actions against you. This will hold the corporation responsible, and the LTB may order remedies against both the individual and the corporation."
What should I do to prepare for the hearing after filing a T2 application?,Gather all relevant evidence and documentation to support your allegations. Be prepared to present your case and prove that it is more likely than not that the allegations in the application are true. Consider seeking legal advice or representation if needed.
What should I do if my landlord enters my unit without permission?,"You can file a T2 application with the Landlord Tenant Board for illegal entry. Make sure to gather evidence such as witness statements, photos, or any communication with the landlord regarding the unauthorized entry."
What can I do if my landlord enters my rental unit without permission?,"If your landlord enters your rental unit without permission, you can file a T2 application with the Landlord Tenant Board for illegal entry. You can refer to previous cases such as SOT-69391-16 (Re), 2016 CanLII 44356 (ON LTB) for guidance on how the Board has ruled in similar situations."
Can my landlord enter my rental unit without my permission?,"Your landlord can enter your rental unit for specific reasons such as repairing the unit, inspecting it if reasonable, allowing a potential mortgagee or insurer to view the unit, or for any other reasonable reason set out in the tenancy agreement. However, they must provide proper notice as per the Residential Tenancies Act."
What can I do if my landlord enters my rental unit without proper notice?,"If your landlord enters your rental unit without proper notice, you can file a T2 application with the Landlord Tenant Board. In the application, you can outline the details of the illegal entry and request appropriate remedies, such as compensation or an order to prevent future illegal entries."
How to file an application for illegal entry by the landlord?,You can file an application under section 29(1) alleging that the entry was illegal. The application must be filed within one year of the alleged illegal entry. You must provide evidence proving that it is more likely than not that the landlord entered the unit illegally.
What should I do if my landlord enters my rental unit without proper notice?,"If your landlord enters your rental unit without proper notice, you can take action by filing a T2 application with the Landlord Tenant Board. Make sure to gather evidence of the unauthorized entry, such as witness statements or documentation. The Board may award you a rent abatement if it is determined that the landlord's entry was not in compliance with the Residential Tenancies Act."
Can a landlord enter my apartment without notice?,"Yes, a landlord does not need to serve the tenant with a notice of entry to enter common areas like hallways in apartment buildings or kitchens in rooming houses."
Can my landlord take photographs during an inspection of my rental unit?,"Yes, according to section 27, a landlord is authorized to enter a rental unit for the purposes of conducting an inspection. It is advisable for the landlord to include the possibility of taking photographs in the notice, but the failure to do so does not render the entry unlawful."
What can I do if my landlord enters my rental unit illegally?,"You can file a T2 application with the Landlord Tenant Board to address the illegal entry. If the LTB finds that the landlord entered the rental unit illegally, they may award remedies such as rent abatement. You can refer to cases like TST-82863-17 (Re), 2017 CanLII 60123 (ON LTB) for examples of orders awarding rent abatements in similar situations."
Can I take action if my landlord alters the locking system without giving me replacement keys?,"Yes, you can take action against your landlord if they alter the locking system without providing replacement keys. You can file a T2 application with the Landlord Tenant Board to address this issue."
Can my landlord change the locks without notifying me?,"According to the Residential Tenancies Act (RTA), your landlord can change the locks during the tenancy as long as you are given a key to the new lock and are not charged for it. This is in accordance with cases such as TST-80082-16 (Re), 2017 CanLII 9501 (ON LTB) and TET-73373-16 (Re), 2016 CanLII 88739 (ON LTB)."
Can my landlord change the locks without my permission?,"According to Section 39, a landlord is entitled to change the locks after a tenant permanently vacates or abandons a rental unit. However, if the landlord is not certain if the tenant has permanently vacated the unit, they should apply to the LTB for an order terminating the tenancy on the ground of abandonment."
What can I do if my landlord changes the locks without giving me a replacement key?,"You can file an application within one year of the date the locks were changed using section 29(1). If you believe the application is urgent, you can also file a request to shorten time to hearing at the same time."
What can I do if my landlord is withholding a vital service?,"You can take action by filing a T2 application with the Landlord Tenant Board. Under section 21, the landlord is not allowed to withhold vital services, and you have the right to apply for a hearing to address this issue."
How can I claim that the landlord has breached section 22 of the RTA?,"To claim that the landlord has breached section 22 of the RTA, you would need to provide evidence that the landlord has interfered with the reasonable enjoyment of the rental unit. This could include issues such as noise disturbances, harassment, or other disruptions that affect your peaceful enjoyment of the property. You can refer to specific cases like CET-65371-17 (Re), 2017 CanLII 28751 (ON LTB) and TNT-26782-12 (Re), 2012 CanLII 27978 (ON LTB) for guidance."
How to file a T3 application for a rent reduction and abatement?,"You can file a T3 application under section 130 with the Landlord Tenant Board. Make sure to provide evidence of the reduced or discontinued service or facility, and refer to section 39 of O. Reg. 516/06 for guidelines on how much the rent should be reduced."
What can I do if my landlord deliberately interferes with the supply of a vital service?,"You can file a T2 application with the Landlord Tenant Board, citing the deliberate interference with the vital service. Make sure to provide evidence of the interference and any relevant communication with the landlord."
What can I do if my landlord shuts off a vital service for an extended period without notice?,"You can file a T2 application with the Landlord Tenant Board, citing the lack of notice and the extended duration of the vital service interruption as a violation of your rights as a tenant."
What evidence can I provide to prove that my landlord withheld a vital service?,"You can provide evidence such as temperature readings, reports or orders issued by municipal officials, and correspondence between you and the landlord. This evidence can help demonstrate that the landlord deliberately interfered with the reasonable supply of the vital service."
What can I do if my landlord is interrupting the supply of electricity due to non-payment?,"If you believe that the landlord has not complied with the RTA's rules about suite meters and the interruption of electricity is unjustified, you may file a T7 application with the Landlord Tenant Board to address this issue."
Can my landlord terminate their obligation to supply electric heat?,"If electricity is the primary source of power to heat your rental unit, your landlord cannot terminate their obligation to supply electric heat."
How to file an application for withholding a vital service?,"You can file an application using section 29(1) within one year of the date the vital service was withheld or interfered with. If you believe the application is urgent, you can also file a request to shorten time to hearing at the same time."
How to prove that the landlord has substantially interfered with my reasonable enjoyment due to disruption of vital service?,"You can gather evidence of the disruption in vital service, such as documentation of the dates and duration of the disruption, any communication with the landlord regarding the issue, and any impact it had on your reasonable enjoyment of the rental unit. You may also consider referencing relevant cases like TST-54725-14 (Re), 2015 CanLII 93465 (ON LTB) and TNT-26782-12 (Re), 2012 CanLII 27978 (ON LTB) to support your claim."
What can I do if another resident in the building is causing substantial interference with my reasonable enjoyment?,"You can start by making a formal complaint to your landlord about the conduct of the other resident. The landlord has an obligation to address your complaint in a reasonable manner. If the landlord does not take appropriate action, you may consider filing a T2 application with the Landlord Tenant Board for substantial interference."
What constitutes substantial interference with my reasonable enjoyment as a tenant?,"Substantial interference with your reasonable enjoyment as a tenant can include repeated unauthorized entry by the landlord, significant disruptions to your living conditions, or any conduct that significantly impacts your ability to peacefully and comfortably enjoy your rental unit."
What can I do if my landlord is making excessive noise in the same building?,"You can document the instances of excessive noise and communicate with your landlord about the issue. If the problem persists, you can file a complaint with the Landlord Tenant Board for interference with your reasonable enjoyment of the rental unit."
What can I do if I believe the contents of a notice from my landlord are untrue?,"If you believe the contents of a notice from your landlord are untrue, you can object to it. However, if the landlord was acting in good faith and did not serve the notice for an improper purpose, it may not constitute substantial interference with your reasonable enjoyment of the rental unit."
What can I do if the superintendent or agent of the landlord is not fulfilling their responsibilities?,You can file a complaint with the Landlord and Tenant Board outlining the specific issues and requesting appropriate action. You may also refer to previous cases such as CET-64293-17 (Re) and CET-64847-17 (Re) to support your claim.
What can I do if other tenants in my building are causing disturbances?,"You can start by documenting the disturbances and bringing them to the attention of your landlord. If the landlord fails to take reasonable action to address the issue, you may consider filing a complaint with the Landlord Tenant Board."
How can I prove that my landlord has not reasonably responded to my complaints?,"You can refer to LTB orders where landlords were found not to have reasonably responded to tenant complaints, such as TNT-93077-17 (Re), 2017 CanLII 60310 (ON LTB), TST-79928-16 (Re), 2017 CanLII 60136 (ON LTB), EAT-61394-16 (Re), 2017 CanLII 48747 (ON LTB), TST-69619-15 (Re), 2016 CanLII 40107 (ON LTB), TST-69295-15 (Re), 2016 CanLII 40109 (ON LTB)."
Can I hold my landlord responsible for construction noise from an adjacent property?,"You cannot hold your landlord directly responsible for the actions of third parties, such as construction noise from an adjacent property. However, you can approach the Landlord Tenant Board to consider whether the landlord has taken reasonable steps to reduce the disruption caused by the third party."
"How can I address interference caused by maintenance, repairs, or capital improvements by the landlord?",You can file an application with the Landlord Tenant Board if the interference is substantial. Section 8 of Ontario Regulation 516/06 provides criteria for determining substantial interference and rules for calculating rent abatement in such cases.
How can I prove that the work performed by my landlord is unreasonably interfering with my use of the unit?,"You can gather evidence of the interference caused by the work, such as documenting the noise, disruptions to utilities, or any other inconveniences. You can also gather witness statements from neighbors or other tenants who have been affected by the work. Presenting this evidence to the Landlord Tenant Board can help demonstrate the unreasonable interference with your reasonable enjoyment of the unit."
What can I do if the landlord is performing work that is causing interference?,"If the work being carried out by the landlord is causing interference, you can first check if the landlord provided proper notice regarding the nature of the work, its expected impact, and the duration. If the notice was not accurate or comprehensive, you can request an update from the landlord. If the interference persists, you can consider filing a complaint with the Landlord and Tenant Board."
How can I address interference caused by work performed by the landlord?,"You can document the nature, duration, and degree of interference caused by the work. You should also consider whether the landlord took steps to minimize the interference and if there were any arrangements made to minimize the impact on your enjoyment of the rental unit. If the interference is significant and the landlord has not taken reasonable steps to minimize it, you may consider filing a complaint with the Landlord Tenant Board."
How to request a larger abatement due to interference with the reasonable enjoyment of the rental unit?,"You can request a larger abatement by demonstrating that the interference with your reasonable enjoyment far exceeded the normal level expected. You should provide evidence that the work was carried out at unreasonable times, in a manner that contravened building permit conditions, or over a period far in excess of what is reasonable. Additionally, if the landlord refused to take reasonable steps to minimize interference, this should be documented and presented to the Landlord Tenant Board."
How to address interference due to work performed by the landlord?,"You can file an application with the Landlord Tenant Board (LTB) to address the interference. The LTB may order an abatement of rent if they determine that the work substantially interfered with your reasonable enjoyment of the rental unit or residential complex. However, the abatement of rent cannot exceed 100% of the rent for each month or part of a month affected by the interference."
How can I prove harassment by my landlord?,"You can refer to cases such as TST-55077-14 (Re), 2015 CanLII 75420 (ON LTB), SWT-89598-16 & SWT-93014-16 (Re), 2016 CanLII 100341 (ON LTB), TET-73196-16 (Re), 2017 CanLII 49021 (ON LTB), and TST-64347-15 (Re), 2015 CanLII 85055 (ON LTB) to understand how harassment has been defined and proven in LTB orders."
How to file a T2 application for harassment against my landlord?,"To file a T2 application for harassment against your landlord, you will need to complete the T2 application form and submit it to the Landlord and Tenant Board. In the application, clearly outline the specific instances of harassment and how they have substantially interfered with your enjoyment of the rental unit. You may also want to refer to relevant case law or precedents, such as CET-55540-16 (Re), 2016 CanLII 44615 (ON LTB) and TNT-75619-15 (Re), 2015 CanLII 93370 (ON LTB), to support your claim."
How can I prove that my landlord's conduct constitutes harassment?,"You can prove harassment by documenting the landlord's conduct that harasses, obstructs, coerces, threatens, or interferes with you. Provide specific examples and evidence of the cumulative effect of the landlord's conduct on you in the context of the landlord-tenant relationship. Each application involves unique circumstances, so it's important to gather as much evidence as possible to support your claim."
What can I do if my landlord is aware of harassing conduct by another tenant and fails to take action?,"You can file a T2 application with the Landlord Tenant Board, citing the landlord's failure to take reasonable measures to investigate and respond to the harassment. Provide evidence of the harassing conduct and the landlord's awareness of it. You may refer to relevant case law such as CET-53660-15 (Re), 2016 CanLII 44627 (ON LTB) to support your case."
What can I do if my landlord is harassing me?,"You can file a T2 application with the Landlord Tenant Board, providing evidence of the harassment such as written documentation, witness statements, or recordings. The Board may order rent abatement, damages for mental distress, and other remedies if they find the landlord guilty of harassment."
Can a landlord be considered to be harassing a tenant by serving a notice of termination?,"No, the LTB has found that a landlord did not engage in harassing conduct merely by exercising her rights under the RTA to serve a tenant a notice of termination."
How to file an application for harassment against my landlord?,You can file an application under subsection 29(1) within one year of the date the conduct occurred. Make sure to gather evidence and documentation to support your claim.
What can I do if my landlord did not give me 72 hours to remove my property after eviction?,"You can file a T2 application with the Landlord Tenant Board to address this issue. According to subsection 41(2), the landlord is required to allow you 72 hours after eviction to retrieve your property. If they have not complied with this, you have grounds for filing a complaint."
How to prove that the landlord breached the obligation to make the tenant's property available in the 72-hour period?,"You can gather evidence such as communication with the landlord, any documentation regarding the enforcement of the eviction, and witness statements if available. It's important to document any attempts to retrieve your property within the 72-hour period as well."
What can I do if my landlord did not give me 72 hours to remove my property after the Sheriff enforced eviction?,"You can refer to the Tenant Protection Act and the Mputu v. Wright case to assert your rights. The landlord has an obligation to make your goods available during the specified time period and facilitate the removal of your belongings. If the landlord has not met these obligations, you may have grounds for legal action or compensation."
What can I do if my landlord did not give me 72 hours to remove my property after the Sheriff enforced eviction?,"You can refer to the LTB orders SWT-84952-16 and SOT-79013-17, which discuss the landlord's positive obligation to make the tenant's property available within 72 hours following eviction. You may also consider applying the analysis used in Beauge v. Metcap Living Management Inc., 2012 ONSC 1160, to estimate the reasonable replacement costs for any improperly disposed property."
What should I do if I want to file a T2 application for a breach that occurred over a period of time?,"If the breach is ongoing or recurring, such as the withdrawal of a vital service, the one-year limitation period runs from the date that the vital service is restored to the tenant. You should ensure to file your T2 application within one year from the date the vital service is restored."
What should I do if my landlord has resolved an issue more than one year ago?,"If the issue was resolved by the landlord more than one year before the application was filed, it cannot be included in the application. However, you can still file an application for any ongoing issues or breaches of the tenancy agreement."
What remedies can I seek through a T2 application?,"You can seek remedies such as compensation for damages, rent reduction, or termination of the tenancy."
What are the possible remedies available to me as a tenant in a T2 application?,"As a tenant in a T2 application, you may seek remedies such as ordering the landlord to refrain from certain actions, abatement of rent, imposing an administrative fine on the landlord, compensation for damaged property, reimbursement for out-of-pocket expenses, recovering possession of the rental unit if illegally locked out, termination of tenancy and eviction, or any other appropriate order as deemed necessary by the Landlord Tenant Board."
What can I do if my landlord illegally changed the locks and the rental unit is still vacant?,"You can apply to the Landlord Tenant Board (LTB) for an order to allow you to regain possession of the rental unit. If the landlord does not comply with the LTB's order, you can enforce it through the Sheriff's office. The LTB's order will expire if not filed with the Sheriff's office within 15 days, and even if filed, it will expire at the end of the 45th day."
How can I request a rent abatement from my landlord?,"You can request a rent abatement by filing an application with the Landlord Tenant Board, providing evidence of the issues that warrant the abatement, such as lack of maintenance or repairs. The Board will then assess the situation and may issue an abatement order if they find in your favor."
How can I calculate the rent abatement for a breach by my landlord?,"You can calculate the rent abatement by considering factors such as the impact of the breach on you and your household, the frequency or duration of the issue, the landlord's intentions, whether the landlord has rectified the problem within a reasonable time, and whether you are partially responsible for the problem or hindered the landlord's efforts to address it."
How can I request a rent abatement based on the effects of the landlord's actions?,"You can request a rent abatement by providing evidence of the specific effects the landlord's actions have had on you. If you have a particular susceptibility to the problem, such as a medical condition, make sure to highlight this in your request as it may result in a larger abatement of rent."
How can I calculate the rent abatement if the landlord's employee has engaged in wrongful actions?,"If the landlord's employee has engaged in wrongful actions, you may be entitled to a rent abatement. The calculation of the abatement will depend on the specific circumstances and the impact of the wrongful actions on your tenancy. You can seek guidance from the Landlord Tenant Board or a legal professional to determine the appropriate amount of rent abatement."
How long can I claim rent abatement for?,"You can claim rent abatement for a period calculated from one year prior to the application filing date to the date the breach ended, as long as the application is filed within one year of the breach and the breach is no longer occurring as of the date of the order. If the breach is ongoing and began more than one year before the application is filed, the rent abatement is limited to one year prior to the date the application was filed."
How long can I expect a rent abatement to last if the problem is not resolved?,"If the problem has not been resolved by the date of the hearing, the LTB may order an abatement of rent covering the period up to and including the month of the hearing. Additionally, the LTB may consider ordering an ongoing rent abatement that continues until the problem has been resolved."
How can I request an order prohibiting actions against me and my household from the LTB?,"You can request an order prohibiting actions against you and your household by filing an application with the LTB. In your application, you should clearly outline the specific activities you want the landlord, superintendent, or agent to be prohibited from engaging in. Provide evidence and details of the actions that have threatened your health or safety, or the health and safety of your household members. The LTB will consider whether it is in the public interest to deter the respondent from further actions against tenants."
How can I request termination of my tenancy due to my landlord's actions?,"You can request termination of your tenancy by filing an application with the Landlord Tenant Board, providing evidence of your landlord's actions that justify termination. If the LTB finds your decision to move out was reasonable in the circumstances, they may retroactively terminate the tenancy and order the landlord to refund all rent paid after the effective date of termination, plus the rent deposit."
What is the purpose of an administrative fine from the Landlord Tenant Board?,An administrative fine is a remedy used to encourage compliance with the RTA and deter landlords from engaging in similar activity in the future. It is imposed when a landlord has shown a blatant disregard for the RTA and other remedies will not provide adequate deterrence and compliance.
What is the difference between an administrative fine and costs in a Landlord Tenant Board proceeding?,"An administrative fine is payable to the Minister of Finance and not to a party, while costs may be ordered where a party's conduct in the proceeding before the LTB was unreasonable and may be ordered payable to a party or to the LTB."
What kind of orders can the Landlord Tenant Board make?,"The Landlord Tenant Board can make any other order which may be appropriate, in addition to the remedies set out in section 31. Parties will have an opportunity to make submissions on the requested order, and the LTB must consider the practicality and enforceability of the proposed order."
Can I claim damages for breach of contract or mental distress from my landlord?,"Yes, you may be able to claim damages for breach of contract or mental distress from your landlord. In Mejia v. Cargini, the Court awarded damages for breach of the tenant's contractual right to quiet enjoyment, and in Taft v. Whitesands Apartments, the tribunal had the authority to award damages for mental distress due to landlord harassment. However, it's important to note that the amount awarded should not result in double compensation, as there is an element of compensation for mental distress in the abatement of rent."
What expenses can I claim from my landlord if I have to move out due to their conduct?,"You can claim your moving expenses and other reasonable out-of-pocket expenses. These can include costs you have already incurred, which can be proven by bills or receipts, or costs you will incur, which can be proven by contracts, receipts, or quotations. Other like expenses may also be claimed, such as fees paid to a realtor or expenses to move telephone or cable services."
How can I claim compensation for increased rent after leaving the rental unit?,"You can claim all or any portion of any increased rent which you have incurred or will incur for a one year period after leaving the rental unit. You must establish that you have rented another unit and provide evidence of the rent for that unit. If the rent is higher, the total amount that could be ordered is the difference over a 12 month period. If you have rented a larger or better unit, the LTB would consider evidence of rents for similar units in the neighbourhood and the compensation could be limited to the lower amount."
What should I do if I need to find a new rental unit after being compensated for future rent and moving expenses?,"You are not required to make an exhaustive search of every possible rental unit. After a reasonable search, if you rent a comparable unit, you should not be expected to have found the lowest rent possible. Additionally, you cannot be expected to have rented another unit from the respondent, even at a lower rent."
How can I claim compensation for future rent and moving expenses?,You can make a claim for the increased rent you will incur once you move into permanent accommodation. You will need to establish that you have found permanent accommodation after a reasonable search and intend to move into this accommodation. Proof could include a rental application or a signed lease. The time limit for making such a claim is 12 months after you vacated the rental unit.
What should I do if my landlord is trying to evict me?,"If your landlord is trying to evict you, you should review the circumstances of your case and consider whether relief from eviction may apply. The Board must review and consider the circumstances of each case to determine whether or not the eviction should be refused or delayed. You may also seek legal advice or representation to understand your rights and options."
What are my rights as a tenant under the legislation?,"As a tenant, you have the right to a safe and habitable living environment, privacy, and protection from unlawful eviction. You also have the right to be provided with proper notice for rent increases and entry by the landlord."
What can I do if my landlord is trying to evict me unfairly?,"You can bring up the circumstances to the Board and argue that it would be unfair to grant the eviction. The Board may refuse to grant the application if it finds that the landlord is in serious breach of their responsibilities under the Act or the tenancy agreement, or if the reason for the application is related to the tenant exercising their legal rights, organizing a tenant's association, or the presence of children in the rental unit."
How can I resolve a dispute about my entitlement to a motor vehicle accident benefit?,"You can apply to AABS at the Licence Appeal Tribunal to resolve the dispute, as per Regulation R.R.O. 1990, Reg. 778."
What are the differences between the various Statutory Accident Benefits Schedules?,"The different schedules apply to accidents that occurred on different dates. For example, O. Reg. 34/10 applies to accidents on or after September 1, 2010, while O. Reg. 403/96 applies to accidents on or after November 1, 1996. Each schedule may have different provisions and benefits based on the date of the accident."
How can I ensure that my landlord is complying with the Accessibility for Ontarians with Disabilities Act?,"You can request information from your landlord about their compliance with the Accessibility for Ontarians with Disabilities Act. If you believe they are not meeting the requirements, you can file a complaint with the Accessibility Directorate of Ontario."
"What are the common rules of practice and procedure for the Licence Appeal Tribunal, Animal Care Review Board, and Fire Safety Commission?","The common rules of practice and procedure for the Licence Appeal Tribunal, Animal Care Review Board, and Fire Safety Commission can be found in the document titled 'Common Rules of the LAT, ACRB, FSC (October 2017)' effective from October 2, 2017. These rules apply to all Tribunal proceedings filed on or after October 2, 2017."
What are my rights as a tenant?,"As a tenant, you have the right to a safe and habitable living environment, privacy, and protection from unlawful eviction. You also have the right to have repairs and maintenance issues addressed in a timely manner."
What can I do if I want to request relief from eviction?,"If you want to request relief from eviction, you can present your circumstances to the Board and explain why you believe the eviction should be delayed or refused. The Board has the discretion to refuse or delay an eviction after considering all relevant circumstances, so it's important to provide as much detail and evidence as possible to support your request."
What are the mandatory relief provisions for eviction?,"Subsections 83(3), 83(4), and 83(5) provide for mandatory relief from eviction in certain situations. If the Board finds that any of those provisions apply, the Board cannot grant the application to evict."
Can I bring a legal representative to an Early Resolution Opportunity session?,"Yes, you can bring a legal representative to the Early Resolution Opportunity session. Make sure your representative is available on the scheduled date."
Can I reschedule an Early Resolution Opportunity session?,"The Early Resolution Opportunity session will not be rescheduled unless there are special circumstances, such as failure to attend with a valid reason or a request to accommodate legal or non-legal representatives."
How can I defend myself against an eviction for arrears or illegal act?,You can defend yourself by providing evidence that the reason for eviction is not serious enough to justify it. You can also consider whether there are any circumstances that led to the arrears or illegal act that should be taken into account.
What can I do if my landlord is trying to evict me?,You can present relevant circumstances to the Member and explain why the refusal to evict would be unfair to you or other occupants in the residential complex. This may include providing evidence of how the eviction would negatively impact you or other occupants.
